"PassengerId","Survived"
892,1
893,0
894,1
895,0
896,1
897,1
898,1
899,0
900,0
901,1
902,0
903,0
904,1
905,1
906,1
907,0
908,0
909,0
910,1
911,0
912,1
913,0
914,0
915,1
916,0
917,1
918,0
919,1
920,1
921,1
922,1
923,1
924,1
925,0
926,0
927,0
928,0
929,1
930,1
931,1
932,1
933,1
934,1
935,0
936,1
937,1
938,0
939,0
940,0
941,0
942,0
943,1
944,0
945,1
946,0
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,0
955,0
956,1
957,1
958,1
959,0
960,0
961,1
962,1
963,1
964,0
965,0
966,0
967,1
968,1
969,1
970,1
971,1
972,0
973,1
974,1
975,1
976,0
977,0
978,1
979,0
980,1
981,1
982,1
983,1
984,0
985,0
986,1
987,1
988,0
989,0
990,1
991,1
992,0
993,0
994,1
995,1
996,0
997,1
998,1
999,0
1000,1
1001,0
1002,0
1003,0
1004,1
1005,0
1006,1
1007,0
1008,1
1009,1
1010,1
1011,1
1012,0
1013,1
1014,1
1015,1
1016,1
1017,1
1018,0
1019,0
1020,1
1021,1
1022,0
1023,0
1024,1
1025,0
1026,0
1027,1
1028,1
1029,0
1030,1
1031,0
1032,1
1033,0
1034,1
1035,1
1036,0
1037,1
1038,0
1039,1
1040,1
1041,0
1042,1
1043,0
1044,0
1045,1
1046,1
1047,0
1048,0
1049,1
1050,1
1051,1
1052,0
1053,1
1054,1
1055,0
1056,0
1057,0
1058,0
1059,0
1060,1
1061,1
1062,0
1063,0
1064,0
1065,0
1066,1
1067,1
1068,0
1069,1
1070,1
1071,1
1072,0
1073,0
1074,1
1075,1
1076,0
1077,1
1078,1
1079,1
1080,0
1081,1
1082,1
1083,1
1084,0
1085,1
1086,0
1087,1
1088,0
1089,1
1090,0
1091,0
1092,1
1093,0
1094,0
1095,1
1096,0
1097,0
1098,0
1099,0
1100,1
1101,0
1102,1
1103,1
1104,1
1105,0
1106,0
1107,0
1108,0
1109,1
1110,1
1111,0
1112,1
1113,1
1114,1
1115,0
1116,1
1117,1
1118,1
1119,0
1120,1
1121,1
1122,1
1123,1
1124,1
1125,0
1126,1
1127,0
1128,1
1129,0
1130,0
1131,0
1132,1
1133,0
1134,1
1135,1
1136,0
1137,0
1138,1
1139,1
1140,1
1141,1
1142,0
1143,1
1144,0
1145,0
1146,1
1147,0
1148,1
1149,1
1150,0
1151,0
1152,0
1153,1
1154,0
1155,1
1156,0
1157,0
1158,1
1159,0
1160,0
1161,0
1162,1
1163,0
1164,1
1165,1
1166,0
1167,0
1168,1
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,1
1176,0
1177,1
1178,1
1179,0
1180,1
1181,0
1182,0
1183,0
1184,1
1185,0
1186,0
1187,0
1188,1
1189,0
1190,0
1191,1
1192,0
1193,0
1194,1
1195,0
1196,0
1197,1
1198,1
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,1
1207,1
1208,0
1209,0
1210,1
1211,1
1212,1
1213,1
1214,0
1215,0
1216,1
1217,1
1218,0
1219,1
1220,0
1221,1
1222,0
1223,0
1224,0
1225,1
1226,1
1227,0
1228,0
1229,0
1230,1
1231,0
1232,0
1233,1
1234,0
1235,0
1236,0
1237,0
1238,1
1239,0
1240,1
1241,0
1242,0
1243,1
1244,0
1245,1
1246,0
1247,0
1248,0
1249,1
1250,1
1251,1
1252,0
1253,0
1254,1
1255,0
1256,1
1257,0
1258,0
1259,1
1260,1
1261,0
1262,0
1263,0
1264,1
1265,1
1266,0
1267,1
1268,1
1269,1
1270,0
1271,0
1272,1
1273,0
1274,0
1275,0
1276,1
1277,0
1278,1
1279,1
1280,1
1281,0
1282,0
1283,0
1284,0
1285,0
1286,1
1287,0
1288,1
1289,0
1290,1
1291,1
1292,0
1293,0
1294,1
1295,1
1296,1
1297,0
1298,0
1299,1
1300,0
1301,0
1302,1
1303,0
1304,0
1305,1
1306,0
1307,1
1308,0
1309,0
